cnpj,situacao_atual,razao_social,SETOR,CNAE PRIMARIO,Porte,Municipio,SESI,SENAI
961032000153,ATIVA,MULTBOX ESQUADRIAS DE ALUMINIO LTDA,INDÚSTRIA,Fabricação de esquadrias de metal,PEQUENO PORTE,ARAPIRACA,,
12312799000211,ATIVA,PANIFICACAO JARAGUA LTDA,INDÚSTRIA,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,MICRO EMPRESA,MACEIO,,
36329165000159,ATIVA,G MOVEIS LTDA,INDÚSTRIA,Fabricação de móveis com predominância de metal,MICRO EMPRESA,MACEIO,,
65080391000147,ATIVA,M J PANIFICACAO LTDA,INDÚSTRIA,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,MICRO EMPRESA,SAO MIGUEL DOS CAMPOS,,
66745231000132,ATIVA,PANIFICACAO A CASA PORTUGUESA PAO E MAIS LTDA,INDÚSTRIA,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,MICRO EMPRESA,MACEIO,,
66799281000100,ATIVA,DFS COMERCIO E INDUSTRIA LTDA,INDÚSTRIA,Fabricação de gelo comum,PEQUENO PORTE,MACEIO,,
68362521000122,ATIVA,ALAGOAS RENDERING LTDA,INDÚSTRIA,Preparação de subprodutos do abate,PEQUENO PORTE,SANTA LUZIA DO NORTE,,
68409605000174,ATIVA,PARATY LTDA,INDÚSTRIA,Fabricação de azulejos e pisos,DEMAIS,MARECHAL DEODORO,,
61082316000245,ATIVA,VIP SPORTS GROUP INDUSTRIA E COMERCIO LTDA,INDÚSTRIA,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",MICRO EMPRESA,MACEIO,,
