divisao_cnae,divisao_descricao,area_senai,peso_afinidade,n_classes_cni
43,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO,51 - Construção Civil - Instalações,1.0,10
43,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO,49 - Construção Civil - Edificações,0.6,10
45,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,39 - Automotiva,0.6,2
49,TRANSPORTE TERRESTRE,48 - Logística,1.0,4
52,ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,48 - Logística,1.0,1
53,CORREIO E OUTRAS ATIVIDADES DE ENTREGA,48 - Logística,1.0,1
61,TELECOMUNICAÇÕES,61 - TI - Software,1.0,4
61,TELECOMUNICAÇÕES,60 - TI - Hardware,0.6,4
62,ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO,61 - TI - Software,1.0,1
62,ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO,13 - Tecnologia da Informação,1.0,1
71,SERVIÇOS DE ARQUITETURA E ENGENHARIA; TESTES E ANÁLISES TÉCNICAS,49 - Construção Civil - Edificações,0.6,1
