CNPJ_NORMALIZADO,razao_social,Municipio,Porte,CNAE PRIMARIO,TEM_SESI,TEM_SENAI,STATUS_COMERCIAL,OPORTUNIDADE_CROSS_SELL
24883020000116,ROSILENE DE LIMA MOURA,Maceió,MICRO EMPRESA,"Servicos de instalacao, manutencao e reparacao de acessorios para veiculos automotores",1,0,SOMENTE SESI,SESI → SENAI
15658194000194,RP2 COMERCIO DE PECAS E SERVICOS LTDA,Maceió,MICRO EMPRESA,"Instalacao e manutencao de sistemas centrais de ar condicionado, de ventilacao e refrigeracao",1,0,SOMENTE SESI,SESI → SENAI
38059977000157,RUBI QUALIDADE E LOGISTICA AMBIENTAL LTDA,Maceió,MICRO EMPRESA,Coleta de residuos perigosos,1,0,SOMENTE SESI,SESI → SENAI
58239912000109,RX3 EMPREENDIMENTO IMOBILIARIO SPE LTDA,Maceió,MICRO EMPRESA,Incorporacao de empreendimentos imobiliarios,1,0,SOMENTE SESI,SESI → SENAI
39971284000107,RX3 ENGENHARIA LTDA,Maceió,MICRO EMPRESA,Servicos de engenharia,1,0,SOMENTE SESI,SESI → SENAI
40908832000125,"S G INDUSTRIA, COMERCIO E REPRESENTACOES DE PRODUTOS ALIMENTICIOS LTDA",Maceió,DEMAIS,Fabricacao de outros produtos alimenticios nao especificados anteriormente,1,0,SOMENTE SESI,SESI → SENAI
49515673000173,S GRAF LTDA,Maceió,MICRO EMPRESA,Impressao de material para outros usos,1,0,SOMENTE SESI,SESI → SENAI
21316170000150,SANAMA - SANEAMENTO ALTA MACEIO S/A,Maceió,DEMAIS,Gestao de redes de esgoto,1,0,SOMENTE SESI,SESI → SENAI
39360633000146,SEEO ENGENHARIA E CONSULTORIA LTDA,Maceió,PEQUENO PORTE,Servicos de engenharia,1,0,SOMENTE SESI,SESI → SENAI
33660990000143,SERGIO BALBINO LIRA DA SILVA,Maceió,MICRO EMPRESA,Fabricacao de produtos de panificacao industrial,1,0,SOMENTE SESI,SESI → SENAI
6121325000109,SERQUIP TRATAMENTOS RESIDUOS AL LTDA,Maceió,DEMAIS,Coleta de residuos nao perigosos,1,0,SOMENTE SESI,SESI → SENAI
18035660000173,SERVE ALL INTELIGENCIA LTDA,Maceió,PEQUENO PORTE,Manutencao e reparacao de maquinas e aparelhos de refrigeracao e ventilacao para uso industrial e comercial,1,0,SOMENTE SESI,SESI → SENAI
10597121000116,SHEILA MARCIA HANNEQUIM DEMETRIO MARTINS,Maceió,MICRO EMPRESA,Fornecimento de alimentos preparados preponderantemente para empresas,1,0,SOMENTE SESI,SESI → SENAI
18639497000158,SILVERTEC ENGENHARIA E SERVICOS LTDA.,Maceió,MICRO EMPRESA,Servicos de engenharia,1,0,SOMENTE SESI,SESI → SENAI
