Municipio,Porte,MERCADO,QT_SESI,QT_SENAI,QT_SESI_SENAI,QT_SESI_OU_SENAI,SEM_RELACIONAMENTO,PENETRACAO_SESI_%,PENETRACAO_SENAI_%,PENETRACAO_COMBINADA_%,GAP_SESI,GAP_SENAI,GAP_COMBINADO
Jacaré dos Homens,DEMAIS,5,0,0,0,0,5,0.0,0.0,0.0,5,5,5
Jacaré dos Homens,MICRO EMPRESA,11,0,0,0,0,11,0.0,0.0,0.0,11,11,11
Jacuípe,DEMAIS,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Jacuípe,MICRO EMPRESA,26,0,0,0,0,26,0.0,0.0,0.0,26,26,26
Japaratinga,DEMAIS,8,0,0,0,0,8,0.0,0.0,0.0,8,8,8
Japaratinga,MICRO EMPRESA,46,0,0,0,0,46,0.0,0.0,0.0,46,46,46
Japaratinga,PEQUENO PORTE,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Jaramataia,DEMAIS,3,1,0,0,1,2,33.3333,0.0,33.3333,2,3,2
Jaramataia,MICRO EMPRESA,9,0,0,0,0,9,0.0,0.0,0.0,9,9,9
Jaramataia,PEQUENO PORTE,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Jequiá da Praia,DEMAIS,5,0,0,0,0,5,0.0,0.0,0.0,5,5,5
Jequiá da Praia,MICRO EMPRESA,52,0,0,0,0,52,0.0,0.0,0.0,52,52,52
Jequiá da Praia,PEQUENO PORTE,4,0,0,0,0,4,0.0,0.0,0.0,4,4,4
Joaquim Gomes,DEMAIS,4,0,0,0,0,4,0.0,0.0,0.0,4,4,4
Joaquim Gomes,MICRO EMPRESA,67,1,0,0,1,66,1.4925,0.0,1.4925,66,67,66
Joaquim Gomes,PEQUENO PORTE,6,0,0,0,0,6,0.0,0.0,0.0,6,6,6
Jundiá,DEMAIS,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Jundiá,MICRO EMPRESA,15,0,0,0,0,15,0.0,0.0,0.0,15,15,15
