Municipio,Porte,MERCADO,QT_SESI,QT_SENAI,QT_SESI_SENAI,QT_SESI_OU_SENAI,SEM_RELACIONAMENTO,PENETRACAO_SESI_%,PENETRACAO_SENAI_%,PENETRACAO_COMBINADA_%,GAP_SESI,GAP_SENAI,GAP_COMBINADO
Olho d'Água das Flores,PEQUENO PORTE,12,1,0,0,1,11,8.3333,0.0,8.3333,11,12,11
Olho d'Água do Casado,DEMAIS,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Olho d'Água do Casado,MICRO EMPRESA,18,0,0,0,0,18,0.0,0.0,0.0,18,18,18
Olivença,DEMAIS,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Olivença,MICRO EMPRESA,24,1,1,1,1,23,4.1667,4.1667,4.1667,23,23,23
Olivença,PEQUENO PORTE,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Ouro Branco,DEMAIS,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Ouro Branco,MICRO EMPRESA,47,0,0,0,0,47,0.0,0.0,0.0,47,47,47
Palestina,DEMAIS,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Palestina,MICRO EMPRESA,15,0,0,0,0,15,0.0,0.0,0.0,15,15,15
Palmeira dos Índios,DEMAIS,18,2,0,0,2,16,11.1111,0.0,11.1111,16,18,16
Palmeira dos Índios,MICRO EMPRESA,425,9,0,0,9,416,2.1176,0.0,2.1176,416,425,416
Palmeira dos Índios,PEQUENO PORTE,19,1,0,0,1,18,5.2632,0.0,5.2632,18,19,18
Pariconha,DEMAIS,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Pariconha,MICRO EMPRESA,23,0,0,0,0,23,0.0,0.0,0.0,23,23,23
Paripueira,DEMAIS,6,0,0,0,0,6,0.0,0.0,0.0,6,6,6
Paripueira,MICRO EMPRESA,155,2,0,0,2,153,1.2903,0.0,1.2903,153,155,153
Paripueira,PEQUENO PORTE,22,0,1,0,1,21,0.0,4.5455,4.5455,22,21,21
Passo de Camaragibe,DEMAIS,9,0,0,0,0,9,0.0,0.0,0.0,9,9,9
Passo de Camaragibe,MICRO EMPRESA,102,0,0,0,0,102,0.0,0.0,0.0,102,102,102
Passo de Camaragibe,PEQUENO PORTE,13,1,0,0,1,12,7.6923,0.0,7.6923,12,13,12
Paulo Jacinto,DEMAIS,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Paulo Jacinto,MICRO EMPRESA,20,0,0,0,0,20,0.0,0.0,0.0,20,20,20
Paulo Jacinto,PEQUENO PORTE,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Penedo,DEMAIS,17,2,1,1,2,15,11.7647,5.8824,11.7647,15,16,15
Penedo,MICRO EMPRESA,875,1,1,0,2,873,0.1143,0.1143,0.2286,874,874,873
