CNAE PRIMARIO,MERCADO,QT_SESI,QT_SENAI,QT_SESI_SENAI,QT_SESI_OU_SENAI,SEM_RELACIONAMENTO,PENETRACAO_SESI_%,PENETRACAO_SENAI_%,PENETRACAO_COMBINADA_%,GAP_SESI,GAP_SENAI,GAP_COMBINADO
Atividades do correio nacional,122,0,0,0,0,122,0.0,0.0,0.0,122,122,122
Fabricacao de outros artigos de carpintaria para construcao,120,0,0,0,0,120,0.0,0.0,0.0,120,120,120
Fabricacao de gelo comum,112,3,1,0,4,108,2.6786,0.8929,3.5714,109,111,108
Obras de terraplenagem,104,2,3,1,4,100,1.9231,2.8846,3.8462,102,101,100
Servicos de confeccao de armacoes metalicas para a construcao,103,0,0,0,0,103,0.0,0.0,0.0,103,103,103
"Outros servicos de acabamento em fios, tecidos, artefatos texteis e pecas do vestuario",101,0,0,0,0,101,0.0,0.0,0.0,101,101,101
"Manutencao e reparacao de geradores, transformadores e motores eletricos",101,1,0,0,1,100,0.9901,0.0,0.9901,100,101,100
Servicos especializados para construcao nao especificados anteriormente,96,2,0,0,2,94,2.0833,0.0,2.0833,94,96,94
Geracao de energia eletrica,94,1,1,1,1,93,1.0638,1.0638,1.0638,93,93,93
Fabricacao de laticinios,92,15,6,3,18,74,16.3043,6.5217,19.5652,77,86,74
"Extracao de areia, cascalho ou pedregulho e beneficiamento associado",91,0,0,0,0,91,0.0,0.0,0.0,91,91,91
"Faccao de pecas do vestuario, exceto roupas intimas",86,1,0,0,1,85,1.1628,0.0,1.1628,85,86,85
"Fabricacao de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",85,1,2,1,2,83,1.1765,2.3529,2.3529,84,83,83
Fabricacao de biscoitos e bolachas,83,6,3,1,8,75,7.2289,3.6145,9.6386,77,80,75
Administracao de obras,82,2,2,0,4,78,2.439,2.439,4.878,80,80,78
Fabricacao de conservas de frutas,82,5,3,0,8,74,6.0976,3.6585,9.7561,77,79,74
"Fabricacao de artigos do vestuario, produzidos em malharias e tricotagens, exceto meias",79,1,0,0,1,78,1.2658,0.0,1.2658,78,79,78
Transmissao de energia eletrica,79,0,0,0,0,79,0.0,0.0,0.0,79,79,79
Construcao de rodovias e ferrovias,77,0,9,0,9,68,0.0,11.6883,11.6883,77,68,68
"Estamparia e texturizacao em fios, tecidos, artefatos texteis e pecas do vestuario",76,0,0,0,0,76,0.0,0.0,0.0,76,76,76
Recondicionamento e recuperacao de motores para veiculos automotores,75,2,0,0,2,73,2.6667,0.0,2.6667,73,75,73
"Manutencao e reparacao de tanques, reservatorios metalicos e caldeiras, exceto para veiculos",72,2,0,0,2,70,2.7778,0.0,2.7778,70,72,70
