CNAE PRIMARIO,MERCADO,QT_SESI,QT_SENAI,QT_SESI_SENAI,QT_SESI_OU_SENAI,SEM_RELACIONAMENTO,PENETRACAO_SESI_%,PENETRACAO_SENAI_%,PENETRACAO_COMBINADA_%,GAP_SESI,GAP_SENAI,GAP_COMBINADO
Extracao de petroleo e gas natural,5,2,0,0,2,3,40.0,0.0,40.0,3,5,3
Extracao de outros minerais nao metalicos nao especificados anteriormente,5,1,0,0,1,4,20.0,0.0,20.0,4,5,4
"Manutencao e reparacao de maquinas de escrever, calcular e de outros equipamentos nao eletronicos para escritorio",5,0,0,0,0,5,0.0,0.0,0.0,5,5,5
Fabricacao de calcados de couro,5,0,0,0,0,5,0.0,0.0,0.0,5,5,5
Extracao de granito e beneficiamento associado,5,0,0,0,0,5,0.0,0.0,0.0,5,5,5
"Fabricacao de escovas, pinceis e vassouras",5,0,0,0,0,5,0.0,0.0,0.0,5,5,5
Fabricacao de outros produtos de minerais nao metalicos nao especificados anteriormente,5,1,0,0,1,4,20.0,0.0,20.0,4,5,4
"Fabricacao de conservas de legumes e outros vegetais, exceto palmito",5,0,0,0,0,5,0.0,0.0,0.0,5,5,5
"Fabricacao de produtos de trefilados de metal, exceto padronizados",5,2,1,1,2,3,40.0,20.0,40.0,3,4,3
"Fabricacao de produtos para infusao (cha, mate, etc.)",5,0,0,0,0,5,0.0,0.0,0.0,5,5,5
Fabricacao de vinagres,5,2,0,0,2,3,40.0,0.0,40.0,3,5,3
Fabricacao de aviamentos para costura,5,0,0,0,0,5,0.0,0.0,0.0,5,5,5
Fabricacao de desinfestantes domissanitarios,5,0,0,0,0,5,0.0,0.0,0.0,5,5,5
"Fabricacao de conservas de peixes, crustaceos e moluscos",5,1,0,0,1,4,20.0,0.0,20.0,4,5,4
Atividades de apoio a extracao de minerais metalicos nao ferrosos,4,0,0,0,0,4,0.0,0.0,0.0,4,4,4
Torrefacao e moagem de cafe,4,2,2,2,2,2,50.0,50.0,50.0,2,2,2
"Fabricacao de maquinas e equipamentos para as industrias de alimentos, bebidas e fumo, pecas e acessorios",4,1,0,0,1,3,25.0,0.0,25.0,3,4,3
Transporte dutoviario,4,1,0,0,1,3,25.0,0.0,25.0,3,4,3
Estudios cinematograficos,4,0,0,0,0,4,0.0,0.0,0.0,4,4,4
"Manutencao e reparacao de aparelhos e instrumentos de medida, teste e controle",4,0,0,0,0,4,0.0,0.0,0.0,4,4,4
Preparacao de subprodutos do abate,4,0,0,0,0,4,0.0,0.0,0.0,4,4,4
Fabricacao de resinas termoplasticas,4,1,1,0,2,2,25.0,25.0,50.0,3,3,2
Fabricacao de outras bebidas nao alcoolicas nao especificadas anteriormente,4,0,0,0,0,4,0.0,0.0,0.0,4,4,4
Fabricacao de chapas e de embalagens de papelao ondulado,4,1,1,0,2,2,25.0,25.0,50.0,3,3,2
Fabricacao de vidro plano e de seguranca,4,1,2,0,3,1,25.0,50.0,75.0,3,2,1
Fundicao de ferro e aco,3,1,0,0,1,2,33.3333,0.0,33.3333,2,3,2
Impressao de jornais,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Fabricacao de componentes eletronicos,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
"Fabricacao de aparelhos e equipamentos de medida, teste e controle",3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Fabricacao de medicamentos alopaticos para uso humano,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Fabricacao de cimento,3,3,1,1,3,0,100.0,33.3333,100.0,0,2,0
Impressao de material de seguranca,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Atividades de apoio a extracao de minerais nao metalicos,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
"Fabricacao de geradores de corrente continua e alternada, pecas e acessorios",3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
"Fabricacao de instrumentos musicais, pecas e acessorios",3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Fabricacao de gases industriais,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Atividades de coordenacao e controle da operacao da geracao e transmissao de energia eletrica,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Tratamento e disposicao de residuos perigosos,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
"Construcao de redes de transportes por dutos, exceto para agua e esgoto",3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Servico movel especializado - sme,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Restauracao e conservacao de lugares e predios historicos,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Moagem de trigo e fabricacao de derivados,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
"Extracao de minerais para fabricacao de adubos, fertilizantes e outros produtos quimicos",3,3,0,0,3,0,100.0,0.0,100.0,0,3,0
Construcao de embarcacoes para esporte e lazer,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Descontaminacao e outros servicos de gestao de residuos,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
"Producao de relaminados, trefilados e perfilados de aco, exceto arames",3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
Producao de carvao vegetal - florestas plantadas,3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
"Preparacao e fiacao de fibras texteis naturais, exceto algodao",3,2,0,0,2,1,66.6667,0.0,66.6667,1,3,1
Processamento industrial do fumo,3,0,1,0,1,2,0.0,33.3333,33.3333,3,2,2
Extracao de minerio de metais preciosos,3,1,1,1,1,2,33.3333,33.3333,33.3333,2,2,2
"Manutencao e reparacao de maquinas, equipamentos e aparelhos para transporte e elevacao de cargas",3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
"Manutencao e reparacao de maquinas e equipamentos de terraplenagem, pavimentacao e construcao, exceto tratores",3,0,0,0,0,3,0.0,0.0,0.0,3,3,3
"Producao e distribuicao de vapor, agua quente e ar condicionado",2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Manutencao e reparacao de maquinas ferramenta,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Fabricacao de aparelhos e utensilios para correcao de defeitos fisicos e aparelhos ortopedicos em geral sob encomenda,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Manutencao e reparacao de maquinas e aparelhos para a industria do plastico,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
"Fabricacao de biocombustiveis, exceto alcool",2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Fabricacao de artigos opticos,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Fabricacao de cal e gesso,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Fabricacao de calcados de material sintetico,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Instalacao de outros equipamentos nao especificados anteriormente,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Manutencao e reparacao de compressores,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Fabricacao de absorventes higienicos,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Extracao de quartzo,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Fabricacao de aparelhos e equipamentos para distribuicao e controle de energia eletrica,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Fabricacao de artefatos de cordoaria,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
"Manutencao e reparacao de tratores, exceto agricolas",2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Obras de irrigacao,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
"Aparelhamento de pedras para construcao, exceto associado a extracao",2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Extracao de calcario e dolomita e beneficiamento associado,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Distribuicao de combustiveis gasosos por redes urbanas,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Construcao de embarcacoes de grande porte,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Fabricacao de jogos eletronicos,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
"Fabricacao de outras maquinas e equipamentos de uso geral nao especificados anteriormente, pecas e acessorios",2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Fabricacao de motocicletas,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
"Fabricacao de maquinas para a industria metalurgica, pecas e acessorios, exceto maquinas ferramenta",2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Tecelagem de fios de algodao,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Servicos de preparacao do terreno nao especificados anteriormente,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
"Britamento de pedras, exceto associado a extracao",2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Fabricacao de medicamentos fitoterapicos para uso humano,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
"Fabricacao de equipamentos hidraulicos e pneumaticos, pecas e acessorios, exceto valvulas",2,1,0,0,1,1,50.0,0.0,50.0,1,2,1
"Fabricacao de maquinas, equipamentos e aparelhos para transporte e elevacao de cargas, pecas e acessorios",2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
"Fabricacao de maquinas e aparelhos de refrigeracao e ventilacao para uso industrial e comercial, pecas e acessorios",2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
"Fabricacao de valvulas, registros e dispositivos semelhantes, pecas e acessorios",2,0,1,0,1,1,0.0,50.0,50.0,2,1,1
Fabricacao de artigos pirotecnicos,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Fabricacao de produtos quimicos organicos nao especificados anteriormente,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Fabricacao de defensivos agricolas,2,0,1,0,1,1,0.0,50.0,50.0,2,1,1
Fabricacao de produtos de papel para uso domestico e higienico sanitario nao especificados anteriormente,2,1,0,0,1,1,50.0,0.0,50.0,1,2,1
Fabricacao de produtos de trefilados de metal padronizados,2,1,0,0,1,1,50.0,0.0,50.0,1,2,1
Fabricacao de pneumaticos e de camaras de ar,2,1,0,0,1,1,50.0,0.0,50.0,1,2,1
"Fabricacao de partes para calcados, de qualquer material",2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Frigorifico - abate de suinos,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Fundicao de metais nao ferrosos e suas ligas,2,1,0,0,1,1,50.0,0.0,50.0,1,2,1
"Fabricacao de outros produtos derivados do petroleo, exceto produtos do refino",2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Fabricacao de produtos do refino de petroleo,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Fabricacao de produtos do arroz,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Fabricacao de outros produtos quimicos inorganicos nao especificados anteriormente,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Fabricacao de papel,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Fabricacao de adubos e fertilizantes organominerais,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Extracao de saibro e beneficiamento associado,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Fabricacao de aditivos de uso industrial,2,1,0,0,1,1,50.0,0.0,50.0,1,2,1
Provedores de voz sobre protocolo internet - voip,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Producao de tubos de aco com costura,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Curtimento e outras preparacoes de couro,2,0,0,0,0,2,0.0,0.0,0.0,2,2,2
Fabricacao de tenis de qualquer material,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Formulacao de combustiveis,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Fabricacao de tecidos de malha,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Fabricacao de outras aguardentes e bebidas destiladas,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
"Fabricacao de oleos vegetais refinados, exceto oleo de milho",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Fabricacao de perifericos para equipamentos de informatica,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Fabricacao de pecas e acessorios para o sistema de direcao e suspensao de veiculos automotores,1,1,0,0,1,0,100.0,0.0,100.0,0,1,0
"Fabricacao de outros aparelhos eletrodomesticos nao especificados anteriormente, pecas e acessorios",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Fabricacao de outros equipamentos e aparelhos eletricos nao especificados anteriormente,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Fabricacao de cha mate e outros chas prontos para consumo,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Fabricacao de cigarros,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Servicos de telecomunicacoes por fio nao especificados anteriormente,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
"Fabricacao de fios, cabos e condutores eletricos isolados",1,1,1,1,1,0,100.0,100.0,100.0,0,0,0
Fabricacao de guarda chuvas e similares,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
"Fabricacao de impermeabilizantes, solventes e produtos afins",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
"Fabricacao de maquinas ferramenta, pecas e acessorios",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Fabricacao de material eletrico para instalacoes em circuito de consumo,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
"Fabricacao de maquinas e equipamentos para a industria do plastico, pecas e acessorios",1,1,1,1,1,0,100.0,100.0,100.0,0,0,0
"Fabricacao de maquinas e equipamentos para a agricultura e pecuaria, pecas e acessorios, exceto para irrigacao",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
"Fabricacao de maquinas e equipamentos para saneamento basico e ambiental, pecas e acessorios",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
"Fabricacao de maquinas, equipamentos e aparelhos para transporte e elevacao de pessoas, pecas e acessorios",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Fabricacao de materiais para medicina e odontologia,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
"Fabricacao de equipamentos transmissores de comunicacao, pecas e acessorios",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
"Fabricacao de equipamentos para irrigacao agricola, pecas e acessorios",1,1,0,0,1,0,100.0,0.0,100.0,0,1,0
Fabricacao de equipamentos de transporte nao especificados anteriormente,1,1,0,0,1,0,100.0,0.0,100.0,0,1,0
"Fabricacao de mesas de bilhar, de sinuca e acessorios nao associada a locacao",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Fabricacao de equipamentos para sinalizacao e alarme,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
"Fabricacao de mobiliario para uso medico, cirurgico, odontologico e de laboratorio",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
"Fabricacao de motores eletricos, pecas e acessorios",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Fabricacao de filtros para cigarros,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Fabricacao de fibras artificiais e sinteticas,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Fabricacao de fraldas descartaveis,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
"Fabricacao de tecidos especiais, inclusive artefatos",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
"Fabricacao de compressores para uso nao industrial, pecas e acessorios",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Fabricacao de cloro e alcalis,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
"Fabricacao de aparelhos de recepcao, reproducao, gravacao e amplificacao de audio e video",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
"Fabricacao de armas de fogo, outras armas e municoes",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Fabricacao de azulejos e pisos,1,1,1,1,1,0,100.0,100.0,100.0,0,0,0
Lapidacao de gemas,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Fabricacao de casas de madeira pre fabricadas,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Fabricacao de bancos e estofados para veiculos automotores,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Instalacao de equipamentos para orientacao a navegacao maritima fluvial e lacustre,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Manutencao e reparacao de equipamentos e instrumentos opticos,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
"Manutencao e reparacao de baterias e acumuladores eletricos, exceto para veiculos",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Manutencao e reparacao de embarcacoes e estruturas flutuantes,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Fabricacao de adesivos e selantes,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Extracao de sal gema,1,1,0,0,1,0,100.0,0.0,100.0,0,1,0
Manutencao e reparacao de veiculos ferroviarios,1,1,0,0,1,0,100.0,0.0,100.0,0,1,0
"Obras portuarias, maritimas e fluviais",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Demolicao de edificios e outras estruturas,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Rerrefino de oleos lubrificantes,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Producao de laminados de aluminio,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Extracao de ardosia e beneficiamento associado,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
"Construcao de embarcacoes para uso comercial e para usos especiais, exceto de grande porte",1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Construcao de barragens e represas para geracao de energia eletrica,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Servico de tratamento de madeira realizado sob contrato,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Serrarias sem desdobramento de madeira em bruto - resserragem,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Transporte ferroviario de passageiros municipal e em regiao metropolitana,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Transporte ferroviario de passageiros intermunicipal e interestadual,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Abate de pequenos animais,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
Usinas de compostagem,1,0,0,0,0,1,0.0,0.0,0.0,1,1,1
