cnpj_basico,opcao_simples,data_opcao_simples,data_exclusao_simples,opcao_mei,data_opcao_mei,data_exclusao_mei
44377748,S,20211125,00000000,S,20211125,00000000
44380931,S,20260101,20261231,N,20250101,20250430
44383247,S,20211125,00000000,S,20211125,00000000
44384060,S,20211126,00000000,S,20211126,00000000
44385434,S,20260101,20261231,N,00000000,00000000
44385617,S,20211126,00000000,S,20211126,00000000
44396132,S,20240101,00000000,N,00000000,00000000
44396821,S,20211126,00000000,S,20211126,00000000
44397108,S,20211126,00000000,S,20211126,00000000
44401490,N,20211128,20251231,N,20211128,20251231
44401494,S,20211128,00000000,N,00000000,00000000
44404375,S,20211129,00000000,S,20211129,00000000
44404417,S,20211129,00000000,S,20211129,00000000
44405297,N,20211129,20241231,N,20211129,20241231
44405981,S,20211129,00000000,N,20211129,20251130
44408305,S,20211129,00000000,S,20211129,00000000
44408457,S,20211129,00000000,S,20211129,00000000
44413652,S,20211129,00000000,S,20211129,00000000
44420839,S,20211130,00000000,S,20211130,00000000
44421127,S,20211130,00000000,S,20211130,00000000
44423327,S,20211130,00000000,S,20211130,00000000
44425489,S,20211130,20261231,S,20211130,20261231
44426271,N,20211130,20251231,N,20211130,20251231
44426727,S,20211130,00000000,S,20211130,00000000
44429855,S,20211130,00000000,S,20211130,00000000
44432644,S,20260101,00000000,S,20260101,00000000
44435710,S,20211130,00000000,S,20211130,00000000
44435890,S,20211130,00000000,S,20211130,00000000
44436083,S,20211130,00000000,S,20211130,00000000
44436131,S,20250101,00000000,S,20250101,00000000
44437103,S,20211201,00000000,N,20211201,20250331
44438191,S,20211201,00000000,S,20211201,00000000
44439914,N,20211201,20251231,N,00000000,00000000
44440160,N,20211201,20241231,N,20211201,20241231
44440268,S,20211201,00000000,S,20211201,00000000
44444522,S,20211201,00000000,S,20211201,00000000
44446309,S,20211201,00000000,N,00000000,00000000
44449826,S,20211201,20261231,N,00000000,00000000
44449889,S,20260101,00000000,N,00000000,00000000
44450721,S,20211201,00000000,S,20211201,00000000
44451314,N,20211201,20251231,N,20211201,20251231
44452052,S,20211201,00000000,S,20211201,00000000
44452513,S,20211201,00000000,S,20211201,00000000
44453031,S,20260101,20261231,N,20211201,20251231
44454628,S,20211202,00000000,N,00000000,00000000
44456800,S,20211202,00000000,S,20211202,00000000
44457291,S,20211202,00000000,N,00000000,00000000
44457361,N,20211202,20251231,N,20211202,20211231
44458350,S,20211202,00000000,S,20230101,00000000
44460510,N,20250101,20251231,N,20211202,20231231
44462176,S,20211202,20261231,S,20211202,20261231
44465164,S,20211202,00000000,S,20211202,00000000
44470944,S,20260101,00000000,S,20260101,00000000
44471539,S,20211203,00000000,S,20211203,00000000
44472325,S,20211203,20261231,S,20211203,20261231
44474474,S,20211203,00000000,N,00000000,00000000
44477845,S,20211203,00000000,S,20211203,00000000
44478073,S,20211203,00000000,S,20211203,00000000
44479195,S,20211203,00000000,S,20211203,00000000
44479419,S,20250101,00000000,S,20250101,00000000
44484298,S,20211204,00000000,S,20211204,00000000
44484785,S,20211204,00000000,S,20211204,00000000
44488346,S,20211206,00000000,S,20211206,00000000
44491885,S,20211206,00000000,S,20260101,00000000
44492177,S,20211206,00000000,S,20211206,00000000
44495867,S,20211206,00000000,S,20211206,00000000
44498917,S,20211206,00000000,S,20211206,00000000
44500982,S,20211206,00000000,S,20211206,00000000
44501852,S,20211206,00000000,S,20211206,00000000
44502452,S,20240101,00000000,N,00000000,00000000
44503003,N,20211206,20251231,N,20211206,20251231
44503609,S,20211207,00000000,S,20211207,00000000
44505939,S,20211207,20261231,S,20211207,20261231
44506175,S,20250101,00000000,N,20250101,20250731
44509518,N,20211207,20251231,N,20211207,20251231
44509873,N,20211207,20251231,N,20211207,20251231
44511034,S,20211207,00000000,S,20211207,00000000
44512097,S,20211207,00000000,S,20211207,00000000
44512181,S,20211207,00000000,S,20211207,00000000
44513239,S,20211207,00000000,S,20211207,00000000
44513483,S,20211207,00000000,S,20211207,00000000
44513746,S,20211207,00000000,S,20211207,00000000
44517005,S,20211207,00000000,S,20211207,00000000
44519142,S,20211208,00000000,S,20211208,00000000
44519829,S,20211208,00000000,S,20211208,00000000
44523379,S,20211208,00000000,S,20211208,00000000
44524789,S,20211208,00000000,N,20211208,20211231
44528011,S,20211208,00000000,S,20211208,00000000
44528185,S,20211208,00000000,N,20211208,20251130
44532373,S,20211209,00000000,S,20211209,00000000
44533788,S,20211209,00000000,N,00000000,00000000
44534320,S,20211209,00000000,S,20211209,00000000
44535787,S,20211209,00000000,S,20211209,00000000
44536841,N,20250101,20251231,N,00000000,00000000
44546567,S,20211210,00000000,S,20211210,00000000
44549135,N,20211210,20241231,N,20211210,20241231
44550711,N,20211210,20231231,N,00000000,00000000
44551105,S,20211210,20261231,S,20211210,20261231
44551550,S,20211210,00000000,N,00000000,00000000
44551655,N,20211210,20251231,N,20211210,20251231
44552481,S,20211210,00000000,S,20211210,00000000
44552645,S,20211210,00000000,S,20211210,00000000
44556260,S,20211210,00000000,S,20211210,00000000
44560366,S,20211211,00000000,S,20211211,00000000
44562113,S,20211212,00000000,N,20211212,20221231
44563659,S,20211213,20261231,S,20211213,20261231
44566324,S,20211213,20261231,S,20211213,20261231
44567173,S,20211213,00000000,S,20211213,00000000
44567710,S,20211213,00000000,N,20211213,20221231
44568065,S,20211213,00000000,S,20211213,00000000
44568273,S,20211213,00000000,N,20211213,20231231
44571565,S,20211213,00000000,S,20211213,00000000
44572095,S,20211213,00000000,S,20211213,00000000
44573481,S,20211213,00000000,S,20211213,00000000
44575104,S,20211213,00000000,S,20211213,00000000
44578439,S,20211214,00000000,S,20211214,00000000
44579493,S,20211214,00000000,S,20211214,00000000
44584262,N,20211214,20251231,N,20211214,20251231
44584659,S,20211214,00000000,S,20211214,00000000
44586735,S,20211214,00000000,S,20211214,00000000
44587636,S,20211214,00000000,S,20211214,00000000
44590454,N,20211214,20241231,N,20211214,20241231
44592317,S,20260101,20261231,N,00000000,00000000
44595034,S,20211215,00000000,S,20211215,00000000
