CNAE,STATUS_RELACIONAMENTO,QUANTIDADE
"Manutenção e reparação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo",SESI + SENAI,1
Outras obras de acabamento da construção,SESI + SENAI,1
"Outras atividades profissionais, científicas e técnicas não especificadas anteriormente",SOMENTE SESI,1
Outras atividades de telecomunicações não especificadas anteriormente,SOMENTE SENAI,1
Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,SOMENTE SESI,1
Outras atividades de serviços pessoais não especificadas anteriormente,SOMENTE SESI,1
Outras atividades de prestação de serviços de informação não especificadas anteriormente,SOMENTE SENAI,1
Organização logística do transporte de carga,SOMENTE SENAI,1
Obras de terraplenagem,SOMENTE SESI,1
Obras de terraplenagem,SESI + SENAI,1
Obras de fundações,SOMENTE SESI,1
Obras de alvenaria,SOMENTE SESI,1
Obras de acabamento em gesso e estuque,SOMENTE SESI,1
Navegação de apoio marítimo,SOMENTE SESI,1
Marketing direto,SOMENTE SESI,1
Marketing direto,SOMENTE SENAI,1
Manutenção e reparação de válvulas industriais,SOMENTE SENAI,1
Preparação de canteiro e limpeza de terreno,SOMENTE SENAI,1
"Portais, provedores de conteúdo e outros serviços de informação na internet",SOMENTE SESI,1
Planos de saúde,SOMENTE SESI,1
Pesquisa e desenvolvimento experimental em ciências sociais e humanas,SOMENTE SESI,1
Pesquisa e desenvolvimento experimental em ciências físicas e naturais,SOMENTE SESI,1
"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios",SOMENTE SESI,1
Comércio atacadista de ferragens e ferramentas,SOMENTE SESI,1
Comércio atacadista de ferragens e ferramentas,SOMENTE SENAI,1
"Comércio atacadista de farinhas, amidos e féculas",SOMENTE SESI,1
Comércio atacadista de embalagens,SOMENTE SESI,1
"Comércio atacadista de combustíveis de origem vegetal, exceto álcool carburante",SOMENTE SESI,1
"Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes",SOMENTE SESI,1
"Comércio atacadista de cerveja, chope e refrigerante",SOMENTE SESI,1
Comércio atacadista de carnes bovinas e suínas e derivados,SOMENTE SESI,1
Comércio a varejo de pneumáticos e câmaras-de-ar,SOMENTE SENAI,1
Outras obras de engenharia civil não especificadas anteriormente,SESI + SENAI,1
Produção de ovos,SOMENTE SESI,1
Produção de artefatos estampados de metal,SOMENTE SESI,1
Processamento industrial do fumo,SOMENTE SENAI,1
"Preservação de peixes, crustáceos e moluscos",SOMENTE SESI,1
Comércio a varejo de motocicletas e motonetas novas,SESI + SENAI,1
"Comércio a varejo de automóveis, camionetas e utilitários usados",SOMENTE SESI,1
"Comércio a varejo de automóveis, camionetas e utilitários novos",SOMENTE SENAI,1
Compra e venda de imóveis próprios,SOMENTE SESI,1
Compra e venda de imóveis próprios,SOMENTE SENAI,1
"Comercio varejista de artigos de cama, mesa e banho",SOMENTE SESI,1
Coleta de resíduos perigosos,SOMENTE SESI,1
"Clubes sociais, esportivos e similares",SOMENTE SENAI,1
Preparação do leite,SOMENTE SESI,1
Preparação do leite,SESI + SENAI,1
Preparação de massa de concreto e argamassa para construção,SOMENTE SENAI,1
Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,SOMENTE SENAI,1
"SERVIÇOS DE USINAGEM, TORNEARIA E SOLDA",SESI + SENAI,1
SERVIÇOS DE CAPOTARIA,SOMENTE SESI,1
Restaurantes e similares,SESI + SENAI,1
Reparação e manutenção de outros objetos e equipamentos pessoais e domésticos não especificados anteriormente,SOMENTE SESI,1
Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico,SOMENTE SESI,1
Reparação e manutenção de equipamentos de comunicação,SOMENTE SESI,1
Reparação e manutenção de computadores e de equipamentos periféricos,SOMENTE SESI,1
Recuperação de sucatas de alumínio,SOMENTE SESI,1
Recuperação de sucatas de alumínio,SESI + SENAI,1
Recuperação de materiais plásticos,SOMENTE SENAI,1
Recuperação de materiais plásticos,SESI + SENAI,1
"Recuperação de materiais metálicos, exceto alumínio",SOMENTE SESI,1
Recarga de cartuchos para equipamentos de informática,SOMENTE SESI,1
Promoção de vendas,SOMENTE SENAI,1
Produção musical,SOMENTE SESI,1
Produção e promoção de eventos esportivos,SOMENTE SESI,1
Serviço de transporte de passageiros - locação de automóveis com motorista,SOMENTE SESI,1
Serrarias com desdobramento de madeira em bruto,SESI + SENAI,1
"Captação, tratamento e distribuição de água",SOMENTE SESI,1
"Captação, tratamento e distribuição de água",SOMENTE SENAI,1
Caixas econômicas,SOMENTE SENAI,1
Beneficiamento de arroz,SOMENTE SESI,1
"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",SOMENTE SESI,1
Atividades de franqueadas e permissionárias do Correio Nacional,SOMENTE SESI,1
Atividades de terapia ocupacional,SOMENTE SESI,1
Atividades de televisão aberta,SOMENTE SESI,1
Atividades de televisão aberta,SOMENTE SENAI,1
Atividades de rádio,SOMENTE SESI,1
Atividades de psicologia e psicanálise,SOMENTE SESI,1
Atividades de profissionais da nutrição,SOMENTE SESI,1
Segurança e ordem pública,SOMENTE SENAI,1
"SERVIÇOS DE USINAGEM, TORNEARIA E SOLDA",SOMENTE SENAI,1
Administração pública em geral,SOMENTE SESI,1
Abate de aves,SESI + SENAI,1
Abate de aves,SOMENTE SESI,1
Tratamento e disposição de resíduos não-perigosos,SOMENTE SENAI,1
Transporte rodoviário de produtos perigosos,SOMENTE SESI,1
"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal",SOMENTE SESI,1
Serviços de perícia técnica relacionados à segurança do trabalho,SOMENTE SESI,1
"Serviços de organização de feiras, congressos, exposições e festas",SOMENTE SENAI,1
Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras,SOMENTE SESI,1
Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras,SOMENTE SENAI,1
"Serviços de diagnóstico por registro gráfico - ECG, EEG e outros exames análogos",SOMENTE SESI,1
Serviços de diagnóstico por métodos ópticos - endoscopia e outros exames análogos,SOMENTE SESI,1
Atividades de associações de defesa de direitos sociais,SESI + SENAI,1
Atividades de apoio à extração de petróleo e gás natural,SOMENTE SESI,1
Atividades de apoio à extração de petróleo e gás natural,SOMENTE SENAI,1
"Atividades de apoio à educação, exceto caixas escolares",SOMENTE SESI,1
"Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus",SOMENTE SESI,1
"Fabricação de cabines, carrocerias e reboques para caminhões",SOMENTE SENAI,1
"Fabricação de cabines, carrocerias e reboques para caminhões",SESI + SENAI,1
Administração pública em geral,SESI + SENAI,1
Transporte dutoviário,SOMENTE SESI,1
Serviços de tratamento e revestimento em metais,SOMENTE SESI,1
Serviços de tomografia,SOMENTE SESI,1
Serviços de pintura de edifícios em geral,SOMENTE SESI,1
Serviços de pintura de edifícios em geral,SOMENTE SENAI,1
"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras",SOMENTE SENAI,1
"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras",SESI + SENAI,1
"Aluguel de móveis, utensílios e aparelhos de uso doméstico e pessoal; instrumentos musicais",SOMENTE SENAI,1
"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",SOMENTE SENAI,1
"Albergues, exceto assistenciais",SOMENTE SESI,1
Agências de fomento,SOMENTE SESI,1
"Agenciamento de espaços para publicidade, exceto em veículos de comunicação",SOMENTE SENAI,1
