CNPJ,Razão Social,Categoria,Porte,CNAE,Origem da Cobertura,TEM_SESI,TEM_SENAI,TEM_SESI_SENAI,STATUS_RELACIONAMENTO,QTD_REGISTROS_BASE,SEBRAE_situacao_atual,SEBRAE_razao_social,SEBRAE_SETOR,SEBRAE_CNAE PRIMARIO,SEBRAE_Porte,SEBRAE_Municipio,SEBRAE_SESI,SEBRAE_SENAI,SEBRAE_cnae_codigo_recuperado,SEBRAE_cnae_norm,SEBRAE_cnae_divisao,SEBRAE_secao,SEBRAE_setor,SEBRAE_subsetor,SEBRAE_e_industria,SEBRAE_auditoria,SEBRAE_elegivel_sebrae,SEBRAE_oportunidade_comercial,ENCONTRADO_SEBRAE
24751061000159,T Z Confeccoes Ltda,Indústria,4.Micro,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",Migração,True,False,False,SOMENTE SESI,1,ATIVA,T Z CONFECCOES LTDA,INDÚSTRIA,"Confeccao de pecas de vestuario, exceto roupas intimas e as confeccionadas sob medida",MICRO EMPRESA,Maceió,24751061000159.0,,1412-6/01,1412601.0,14.0,C,Industria de transformacao,Confeccao de vestuario e acessorios,True,False,SIM,NÃO ATENDIDA,True
24870569000176,Agronegocio Vasconcelos Ltda,Industria | Indústria,3.Pequena,Preparação do leite,Migração | Proposta,True,True,True,SESI + SENAI,2,ATIVA,AGRONEGOCIO VASCONCELOS LTDA,INDÚSTRIA,Preparacao do leite,DEMAIS,Maceió,24870569000176.0,24870569000176.0,1051-1/00,1051100.0,10.0,C,Industria de transformacao,Alimentos,True,False,SIM,NÃO ATENDIDA,True
24883020000116,Rosilene De Lima Moura,Indústria,2.Média,"Serviços de instalação, manutenção e reparação de acessórios para veículos automotores",Migração,True,False,False,SOMENTE SESI,1,ATIVA,ROSILENE DE LIMA MOURA,INDÚSTRIA,"Servicos de instalacao, manutencao e reparacao de acessorios para veiculos automotores",MICRO EMPRESA,Maceió,24883020000116.0,,4520-0/07,4520007.0,45.0,G,Comercio e reparacao de veiculos,Comercio e reparacao de veiculos,False,False,NAO,FORA DO ESCOPO SEBRAE,True
24937152000183,Laikos Solucoes Em Telecomunicacoes Ltda,Indústria,4.Micro,Serviços de comunicação multimídia - SCM,Migração,True,False,False,SOMENTE SESI,1,ATIVA,LAIKOS SOLUCOES EM TELECOMUNICACOES LTDA,INDÚSTRIA,Servicos de comunicacao multimidia - scm,MICRO EMPRESA,Maragogi,24937152000183.0,,6110-8/03,6110803.0,61.0,J,Informacao e comunicacao,Informacao e comunicacao,False,False,NAO,FORA DO ESCOPO SEBRAE,True
24937152000345,Laikos Solucoes Em Telecomunicacoes Ltda,Indústria,4.Micro,Serviços de comunicação multimídia - SCM,Migração,True,False,False,SOMENTE SESI,1,ATIVA,LAIKOS SOLUCOES EM TELECOMUNICACOES LTDA,INDÚSTRIA,Servicos de comunicacao multimidia - scm,MICRO EMPRESA,Quebrangulo,24937152000345.0,,6110-8/03,6110803.0,61.0,J,Informacao e comunicacao,Informacao e comunicacao,False,False,NAO,FORA DO ESCOPO SEBRAE,True
24987856000160,Brazmarmore Industria E Comercio De Marmores E Granito Ltda,Indústria,3.Pequena,"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras",Migração,True,False,False,SOMENTE SESI,1,ATIVA,BRAZMARMORE INDUSTRIA E COMERCIO DE MARMORES E GRANITO LTDA,INDÚSTRIA,"Aparelhamento de placas e execucao de trabalhos em marmore, granito, ardosia e outras pedras",MICRO EMPRESA,Maceió,24987856000160.0,,2391-5/03,2391503.0,23.0,C,Industria de transformacao,Produtos de minerais nao-metalicos,True,False,SIM,NÃO ATENDIDA,True
25245517000171,Consorcio Construtor Alta Maceio,Industria,3.Pequena,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação",Proposta,False,True,False,SOMENTE SENAI,1,ATIVA,CONSORCIO CONSTRUTOR ALTA MACEIO,INDÚSTRIA,"Construcao de redes de abastecimento de agua, coleta de esgoto e construcoes correlatas, exceto obras de irrigacao",DEMAIS,Maceió,,25245517000171.0,4222-7/01,4222701.0,42.0,F,Construcao,Obras de infraestrutura,True,False,SIM,NÃO ATENDIDA,True
26058879000116,Ab Industria Metalurgica E Comercio Ltda,Industria,4.Micro,Fabricação de esquadrias de metal,Proposta,False,True,False,SOMENTE SENAI,1,ATIVA,AB INDUSTRIA METALURGICA E COMERCIO LTDA,INDÚSTRIA,Fabricacao de esquadrias de metal,DEMAIS,Maceió,,26058879000116.0,2512-8/00,2512800.0,25.0,C,Industria de transformacao,Produtos de metal (exceto maquinas),True,False,SIM,NÃO ATENDIDA,True
26155529000178,Superpaver Asfaltos Ltda,Indústria,3.Pequena,"Obras de urbanização - ruas, praças e calçadas",Migração,True,False,False,SOMENTE SESI,1,ATIVA,SUPERPAVER ASFALTOS LTDA,INDÚSTRIA,"Obras de urbanizacao - ruas, pracas e calcadas",DEMAIS,Maceió,26155529000178.0,26155529000178.0,4213-8/00,4213800.0,42.0,F,Construcao,Obras de infraestrutura,True,False,SIM,NÃO ATENDIDA,True
26238109000155,Prime Servicos Automotivos Ltda,Indústria,4.Micro,Serviços de lanternagem ou funilaria e pintura de veículos automotores,Migração,True,False,False,SOMENTE SESI,1,ATIVA,PRIME SERVICOS AUTOMOTIVOS LTDA,INDÚSTRIA,Servicos de lanternagem ou funilaria e pintura de veiculos automotores,MICRO EMPRESA,Maceió,26238109000155.0,,4520-0/02,4520002.0,45.0,G,Comercio e reparacao de veiculos,Comercio e reparacao de veiculos,False,False,NAO,FORA DO ESCOPO SEBRAE,True
