CNPJ,Razão Social,Categoria,Porte,CNAE,Origem da Cobertura,TEM_SESI,TEM_SENAI,TEM_SESI_SENAI,STATUS_RELACIONAMENTO,QTD_REGISTROS_BASE,SEBRAE_situacao_atual,SEBRAE_razao_social,SEBRAE_SETOR,SEBRAE_CNAE PRIMARIO,SEBRAE_Porte,SEBRAE_Municipio,SEBRAE_SESI,SEBRAE_SENAI,SEBRAE_cnae_codigo_recuperado,SEBRAE_cnae_norm,SEBRAE_cnae_divisao,SEBRAE_secao,SEBRAE_setor,SEBRAE_subsetor,SEBRAE_e_industria,SEBRAE_auditoria,SEBRAE_elegivel_sebrae,SEBRAE_oportunidade_comercial,ENCONTRADO_SEBRAE
54787099000142,Croassaria Da Dressa Ltda,Não Indústria,4.Micro,Restaurantes e similares,Migração,True,False,False,SOMENTE SESI,1,,,,,,,,,,,,,,,,,,,False
54841751000160,Reserva Wara Spe Ltda,Industria | Indústria,3.Pequena,Incorporação de empreendimentos imobiliários,Migração | Proposta,True,True,True,SESI + SENAI,2,ATIVA,RESERVA WARA SPE LTDA,INDÚSTRIA,Incorporacao de empreendimentos imobiliarios,DEMAIS,Maceió,54841751000160.0,54841751000160.0,4110-7/00,4110700.0,41.0,F,Construcao,Construcao de edificios,True,False,SIM,NÃO ATENDIDA,True
54845919000105,M E Dos S Silva,Não Indústria,4.Micro,Comércio a varejo de peças e acessórios novos para veículos automotores,Migração,True,False,False,SOMENTE SESI,1,,,,,,,,,,,,,,,,,,,False
54846397000166,Biscoite Parque Shopping Ltda,Nao Industria,4.Micro,"Comércio varejista de doces, balas, bombons e semelhantes",Proposta,False,True,False,SOMENTE SENAI,1,,,,,,,,,,,,,,,,,,,False
54922060000190,A B Gomes Lucena,Não Indústria,4.Micro,Atividade médica ambulatorial restrita a consultas,Migração,True,False,False,SOMENTE SESI,1,,,,,,,,,,,,,,,,,,,False
54991602000187,D F Servicos De Apoio Administrativo Ltda,Não Indústria,3.Pequena,Serviços combinados de escritório e apoio administrativo,Proposta,True,False,False,SOMENTE SESI,1,,,,,,,,,,,,,,,,,,,False
55034633000102,Fb Locacoes E Servicos Ltda,Não Indústria,4.Micro,Outras atividades de prestação de serviços de informação não especificadas anteriormente,Migração,True,False,False,SOMENTE SESI,1,,,,,,,,,,,,,,,,,,,False
55065115000156,Hotel Quatro Coracoes Ltda,Não Indústria,4.Micro,Hotéis,Migração,True,False,False,SOMENTE SESI,1,,,,,,,,,,,,,,,,,,,False
55066699000184,Condominio Pier Norte,Não Indústria,3.Pequena,Condomínios prediais,Proposta,True,False,False,SOMENTE SESI,1,,,,,,,,,,,,,,,,,,,False
55176486000105,55.176.486 Lucas Medeiros Marinho,Não Indústria,4.Micro,Restaurantes e similares,Proposta,True,False,False,SOMENTE SESI,1,,,,,,,,,,,,,,,,,,,False
55187737000157,Ep3 Construcao E Planejamento Ltda,Industria,4.Micro,Serviços de engenharia,Proposta,False,True,False,SOMENTE SENAI,1,ATIVA,EP3 CONSTRUCAO E PLANEJAMENTO LTDA,INDÚSTRIA,Servicos de engenharia,MICRO EMPRESA,Maceió,,55187737000157.0,7112-0/00,7112000.0,71.0,M,Atividades profissionais e tecnicas,Atividades profissionais e tecnicas,False,False,NAO,FORA DO ESCOPO SEBRAE,True
55246486000134,Consorcio Pedcac,Indústria,3.Pequena,Construção de edifícios,Migração,True,False,False,SOMENTE SESI,1,ATIVA,CONSORCIO PEDCAC,INDÚSTRIA,Construcao de edificios,DEMAIS,Maceió,55246486000134.0,,4120-4/00,4120400.0,41.0,F,Construcao,Construcao de edificios,True,False,SIM,NÃO ATENDIDA,True
55297144000143,Narayana Locacoes De Equipamentos Ltda,Não Indústria,4.Micro,Aluguel de máquinas e equipamentos para escritório,Migração,True,False,False,SOMENTE SESI,1,,,,,,,,,,,,,,,,,,,False
55303152000155,Narayana Conexoes De Internet Ltda,Indústria,4.Micro,Provedores de acesso às redes de comunicações,Migração,True,False,False,SOMENTE SESI,1,ATIVA,NARAYANA CONEXOES DE INTERNET LTDA,INDÚSTRIA,Provedores de acesso as redes de comunicacoes,MICRO EMPRESA,Girau do Ponciano,55303152000155.0,,6190-6/01,6190601.0,61.0,J,Informacao e comunicacao,Informacao e comunicacao,False,False,NAO,FORA DO ESCOPO SEBRAE,True
55304253000140,Hora Extra Administrativo Ltda,Não Indústria,4.Micro,Outras atividades de prestação de serviços de informação não especificadas anteriormente,Migração,True,False,False,SOMENTE SESI,1,,,,,,,,,,,,,,,,,,,False
55436580000156,R F F Servicos Administrativos Ltda,Não Indústria,4.Micro,Serviços combinados de escritório e apoio administrativo,Migração,True,False,False,SOMENTE SESI,1,,,,,,,,,,,,,,,,,,,False
55553907000170,Restaurante Cheiro Da Terra Frances Ltda,Não Indústria,3.Pequena,Restaurantes e similares,Migração,True,False,False,SOMENTE SESI,1,,,,,,,,,,,,,,,,,,,False
55611386000160,Condominio Reserva Do Prata Empreendimento Imobiliario Spe Ltda,Indústria,2.Média,Incorporação de empreendimentos imobiliários,Migração,True,False,False,SOMENTE SESI,1,ATIVA,CONDOMINIO RESERVA DO PRATA EMPREENDIMENTO IMOBILIARIO SPE LTDA,INDÚSTRIA,Incorporacao de empreendimentos imobiliarios,DEMAIS,Maceió,55611386000160.0,55611386000160.0,4110-7/00,4110700.0,41.0,F,Construcao,Construcao de edificios,True,False,SIM,NÃO ATENDIDA,True
55617622000155,J C Da Silva Carnes Ltda,Não Indústria,4.Micro,Comércio atacadista de carnes bovinas e suínas e derivados,Migração,True,False,False,SOMENTE SESI,1,,,,,,,,,,,,,,,,,,,False
