CNPJ,RazaoSocial_relacionamento,COBERTURA,Porte_relacionamento,CNAE_relacionamento,razao_social_receita,situacao_cadastral,data_situacao_cadastral,municipio_receita,uf_receita,cnae_fiscal_codigo,cnae_fiscal_descricao,erro,classificacao
11512944000164,Faab Engenharia Ltda,SENAI,2.Média,Construção de estações e redes de distribuição de energia elétrica,FAAB ENGENHARIA LTDA,ATIVA,2005-11-03,RECIFE,PE,4221902.0,Construção de estações e redes de distribuição de energia elétrica,,ATIVA_OUTRA_UF
12312799000211,Panificacao Jaragua Ltda,SENAI,4.Micro,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,PANIFICACAO JARAGUA LTDA,ATIVA,2026-05-08,MACEIO,AL,1091102.0,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,,ATIVA_AL
16599987000142,Applus Qualitec Servicos De Engenharia Ltda,SENAI,4.Micro,Serviços de engenharia,APPLUS QUALITEC SERVICOS DE ENGENHARIA LTDA,ATIVA,2005-11-03,IBIRITE,MG,7112000.0,Serviços de engenharia,,ATIVA_OUTRA_UF
20293552000142,Ellca 2 Servicos & Locacoes Ltda,SENAI,2.Média,Instalação e manutenção elétrica,ELLCA 2 SERVICOS & LOCACOES LTDA,ATIVA,2014-05-21,RIO DE JANEIRO,RJ,4321500.0,Instalação e manutenção elétrica,,ATIVA_OUTRA_UF
23571419000107,Jael Engenharia Ltda,SENAI,4.Micro,Serviços de engenharia,JAEL ENGENHARIA LTDA,ATIVA,2015-10-29,SAO LUIS,MA,7112000.0,Serviços de engenharia,,ATIVA_OUTRA_UF
23585778000105,Sbv Solucoes Ambientais Ltda,SENAI,2.Média,"Obras portuárias, marítimas e fluviais",SBV SOLUCOES AMBIENTAIS LTDA,ATIVA,2015-10-13,MACEIO,AL,4291000.0,"Obras portuárias, marítimas e fluviais",,ATIVA_AL
26794410000226,Tcl Semp Industria E Comerco De Condicionadores De Ar S.a,SENAI,1.Grande,Fabricação de aparelhos e equipamentos de ar condicionado para uso não-industrial,TCL SEMP INDUSTRIA E COMERCO DE CONDICIONADORES DE AR S.A,ATIVA,2019-08-14,CAJAMAR,SP,2824102.0,Fabricação de aparelhos e equipamentos de ar condicionado para uso não-industrial,,ATIVA_OUTRA_UF
41200286000136,Trez Participacoes E Engenharia Ltda,SENAI,3.Pequena,Construção de edifícios,TREZ PARTICIPACOES E ENGENHARIA LTDA,ATIVA,2021-03-12,RECIFE,PE,4120400.0,Construção de edifícios,,ATIVA_OUTRA_UF
43249460000160,Warlem Teofilo Alves Ltda,SENAI,4.Micro,Recuperação de sucatas de alumínio,WARLEM TEOFILO ALVES LTDA,ATIVA,2021-08-24,MACEIO,AL,8211300.0,Serviços combinados de escritório e apoio administrativo,,ATIVA_AL
46806564000117,Sunset Residence Frances Spe Ltda,SENAI,3.Pequena,Incorporação de empreendimentos imobiliários,SUNSET RESIDENCE FRANCES SPE LTDA,ATIVA,2022-06-15,MARECHAL DEODORO,AL,4110700.0,Incorporação de empreendimentos imobiliários,,ATIVA_AL
49329618000199,Sistenge Construcoes E Comercio Ltda,SENAI,4.Micro,Construção de edifícios,SISTENGE CONSTRUCOES E COMERCIO LTDA,ATIVA,2005-11-03,SAO PAULO,SP,4120400.0,Construção de edifícios,,ATIVA_OUTRA_UF
61082316000245,Vip Sports Group Industria E Comercio Ltda,SENAI,4.Micro,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",VIP SPORTS GROUP INDUSTRIA E COMERCIO LTDA,ATIVA,2026-01-13,MACEIO,AL,1412601.0,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",,ATIVA_AL
