CNPJ,RazaoSocial_relacionamento,COBERTURA,Porte_relacionamento,CNAE_relacionamento,razao_social_receita,situacao_cadastral,data_situacao_cadastral,municipio_receita,uf_receita,cnae_fiscal_codigo,cnae_fiscal_descricao,erro,classificacao
29325963000147,E C L Almeida,SESI,4.Micro,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,E C L ALMEIDA,INAPTA,2026-05-26,MACEIO,AL,1091102.0,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,,NAO_ATIVA
31820106000165,Reobote Sistemas Ltda,SESI,4.Micro,Instalações de sistema de prevenção contra incêndio,REOBOTE SISTEMAS LTDA,ATIVA,2018-10-22,BELO HORIZONTE,MG,4751201.0,Comércio varejista especializado de equipamentos e suprimentos de informática,,ATIVA_OUTRA_UF
34186669000301,Origem Energia Alagoas S.a.,SESI,1.Grande,Extração de petróleo e gás natural,ORIGEM ENERGIA ALAGOAS S.A.,BAIXADA,2026-06-30,PILAR,AL,600001.0,Extração de petróleo e gás natural,,NAO_ATIVA
34186669000565,Origem Energia Alagoas S.a.,SESI,2.Média,Extração de petróleo e gás natural,ORIGEM ENERGIA ALAGOAS S.A.,BAIXADA,2026-06-30,SAO MIGUEL DOS CAMPOS,AL,600001.0,Extração de petróleo e gás natural,,NAO_ATIVA
34895118000147,M B S Costa Damasceno Ltda,SESI,4.Micro,Fabricação de esquadrias de metal,M B S COSTA DAMASCENO LTDA,ATIVA,2019-09-17,MARECHAL DEODORO,AL,4744001.0,Comércio varejista de ferragens e ferramentas,,ATIVA_AL
36329165000159,G Moveis Ltda,SESI,4.Micro,Fabricação de móveis com predominância de metal,G MOVEIS LTDA,ATIVA,2020-02-11,MACEIO,AL,3102100.0,Fabricação de móveis com predominância de metal,,ATIVA_AL
36999552000100,"Mg Construcao, Manutencao E Servicos Ltda",SESI,4.Micro,Instalação e manutenção elétrica,"MG CONSTRUCAO, MANUTENCAO E SERVICOS LTDA",ATIVA,2020-04-24,SAO LUIS,MA,4321500.0,Instalação e manutenção elétrica,,ATIVA_OUTRA_UF
38497296000170,J L Da Silva Industria E Comercio,SESI,4.Micro,"Fabricação de especiarias, molhos, temperos e condimentos",J L DA SILVA INDUSTRIA E COMERCIO,BAIXADA,2026-01-14,MACEIO,AL,1095300.0,"Fabricação de especiarias, molhos, temperos e condimentos",,NAO_ATIVA
41406475000160,"Maceio Print Grafica, Sinalizacao E Locacao Ltda",SESI,3.Pequena,Impressão de material para uso publicitário,"MACEIO PRINT GRAFICA, SINALIZACAO E LOCACAO LTDA",BAIXADA,2024-02-06,MACEIO,AL,1813001.0,Impressão de material para uso publicitário,,NAO_ATIVA
42150391000170,Braskem S.a,SESI,3.Pequena,Fabricação de produtos petroquímicos básicos,BRASKEM S.A,ATIVA,2005-11-03,CAMACARI,BA,2021500.0,Fabricação de produtos petroquímicos básicos,,ATIVA_OUTRA_UF
43249460000160,Warlem Teofilo Alves Ltda,SESI,4.Micro,Recuperação de sucatas de alumínio,WARLEM TEOFILO ALVES LTDA,ATIVA,2021-08-24,MACEIO,AL,8211300.0,Serviços combinados de escritório e apoio administrativo,,ATIVA_AL
43995907000140,Flex Industria E Comercio Ltda,SESI,4.Micro,Fabricação de fraldas descartáveis,FLEX INDUSTRIA E COMERCIO LTDA,INAPTA,2026-06-15,SAO SEBASTIAO,AL,1742701.0,Fabricação de fraldas descartáveis,,NAO_ATIVA
45075715000141,Honor Service Ltda,SESI,3.Pequena,Instalação e manutenção elétrica,HONOR SERVICE LTDA,ATIVA,2022-01-31,LONDRINA,PR,4321500.0,Instalação e manutenção elétrica,,ATIVA_OUTRA_UF
47409771000109,Thiago Lins Batista 01140757431,SESI,4.Micro,"Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração",THIAGO LINS BATISTA 01140757431,BAIXADA,2026-03-23,MACEIO,AL,4322302.0,"Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração",,NAO_ATIVA
48962242000192,Quimica Nordeste De Produtos Ltda,SESI,3.Pequena,Fabricação de sabões e detergentes sintéticos,QUIMICA NORDESTE DE PRODUTOS LTDA,INAPTA,2026-06-15,MACEIO,AL,2061400.0,Fabricação de sabões e detergentes sintéticos,,NAO_ATIVA
49930514000135,Sodexo Do Brasil Comercial S.a.,SESI,1.Grande,Fornecimento de alimentos preparados preponderantemente para empresas,SODEXO DO BRASIL COMERCIAL S.A.,ATIVA,2005-11-03,SAO PAULO,SP,5620101.0,Fornecimento de alimentos preparados preponderantemente para empresas,,ATIVA_OUTRA_UF
50567288000744,Sociedade Michelin De Participacoes Indust E Comercio Ltda,SESI,2.Média,Fabricação de pneumáticos e de câmaras-de-ar,SOCIEDADE MICHELIN DE PARTICIPACOES INDUST E COMERCIO LTDA,ATIVA,2005-11-03,RIO DE JANEIRO,RJ,2211100.0,Fabricação de pneumáticos e de câmaras-de-ar,,ATIVA_OUTRA_UF
51899013000185,Petroworks Do Brasil Ltda.,SESI,3.Pequena,Perfurações e sondagens,PETROWORKS DO BRASIL LTDA.,ATIVA,2023-08-22,MOSSORO,RN,4312600.0,Perfurações e sondagens,,ATIVA_OUTRA_UF
54202484000180,D S Comercio De Eucalipto Ltda,SESI,4.Micro,"Fabricação de artefatos diversos de madeira, exceto móveis",D S COMERCIO DE EUCALIPTO LTDA,BAIXADA,2026-07-29,ATALAIA,AL,1629301.0,"Fabricação de artefatos diversos de madeira, exceto móveis",,NAO_ATIVA
57467850000111,Cymi Aguas Alagoas S.a.,SESI,3.Pequena,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação",CYMI AGUAS ALAGOAS S.A.,ATIVA,2024-09-27,RIO DE JANEIRO,RJ,4222701.0,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação",,ATIVA_OUTRA_UF
64904295005920,Camil Alimentos S.a.,SESI,2.Média,Fabricação de biscoitos e bolachas,CAMIL ALIMENTOS S.A.,ATIVA,2022-09-09,ITAPORANGA D'AJUDA,SE,1092900.0,Fabricação de biscoitos e bolachas,,ATIVA_OUTRA_UF
65080391000147,M J Panificacao Ltda,SESI,4.Micro,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,M J PANIFICACAO LTDA,ATIVA,2026-02-11,SAO MIGUEL DOS CAMPOS,AL,1091102.0,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,,ATIVA_AL
65456832000162,Erm Brasil Ltda,SESI,2.Média,Serviços de engenharia,ERM BRASIL LTDA,ATIVA,2004-12-24,SAO PAULO,SP,7112000.0,Serviços de engenharia,,ATIVA_OUTRA_UF
66745231000132,Panificacao A Casa Portuguesa Pao E Mais Ltda,SESI,4.Micro,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,PANIFICACAO A CASA PORTUGUESA PAO E MAIS LTDA,ATIVA,2026-05-12,MACEIO,AL,1091102.0,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,,ATIVA_AL
66799281000100,Dfs Comercio E Industria Ltda,SESI,3.Pequena,Fabricação de gelo comum,DFS COMERCIO E INDUSTRIA LTDA,ATIVA,2026-05-11,MACEIO,AL,1099604.0,Fabricação de gelo comum,,ATIVA_AL
68362521000122,Alagoas Rendering Ltda,SESI,3.Pequena,Preparação de subprodutos do abate,ALAGOAS RENDERING LTDA,ATIVA,2026-08-03,SANTA LUZIA DO NORTE,AL,1013902.0,Preparação de subprodutos do abate,,ATIVA_AL
68409605000174,Paraty Ltda,SESI,2.Média,Fabricação de azulejos e pisos,PARATY LTDA,ATIVA,2026-08-05,MARECHAL DEODORO,AL,2342701.0,Fabricação de azulejos e pisos,,ATIVA_AL
78391612000140,Ibq - Industrias Quimicas S/a,SESI,4.Micro,"Fabricação de pólvoras, explosivos e detonantes",IBQ - INDUSTRIAS QUIMICAS S/A,ATIVA,2005-11-03,QUATRO BARRAS,PR,2092401.0,"Fabricação de pólvoras, explosivos e detonantes",,ATIVA_OUTRA_UF
