Origem da Cobertura,CNPJ,Razão Social,Categoria,Porte,CNAE,COBERTURA,CNPJ_NORMALIZADO
Proposta,7103225000112,Empresa Brasileira De Construcao Ltda,Industria,3.Pequena,Construção de edifícios,SENAI,07103225000112
Proposta,7431747000143,Comferral Comercio De Ferragens Ltda,Nao Industria,4.Micro,Comércio atacadista de ferragens e ferramentas,SENAI,07431747000143
Migração,7478417000103,Metro Engenharia E Consultoria Ltda,Industria,1.Grande,Construção de edifícios,SENAI,07478417000103
Proposta,7811608000145,Sol Salinas Hotelaria E Servicos Ltda.,Nao Industria,2.Média,Hotéis,SENAI,07811608000145
Proposta,8343492000120,Mrv Engenharia E Participacoes Sa,Industria,1.Grande,Incorporação de empreendimentos imobiliários,SENAI,08343492000120
Migração,8414691000181,Verissimo E Holanda Ltda,Nao Industria,3.Pequena,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",SENAI,08414691000181
Proposta,8618746000175,Centro Educacional Santa Terezinha Ltda,Nao Industria,3.Pequena,Ensino fundamental,SENAI,08618746000175
Proposta,8726496000197,Engeko Engenharia E Construcao Ltda,Industria,3.Pequena,Construção de edifícios,SENAI,08726496000197
Proposta,8900689000112,J.r.feyh & Cia Ltda,Industria,3.Pequena,Construção de estações e redes de distribuição de energia elétrica,SENAI,08900689000112
Proposta,9344391000217,Hotel Costa Azul S A,Nao Industria,3.Pequena,Hotéis,SENAI,09344391000217
Migração,9423483000101,Associacao Madre Esperanca,Nao Industria,4.Micro,Atividades de associações de defesa de direitos sociais,SENAI,09423483000101
Proposta,9520287000155,Adequa Assessoria E Consultoria Em Controle De Qualidade De Alimentos Ltda.,Nao Industria,4.Micro,Treinamento em desenvolvimento profissional e gerencial,SENAI,09520287000155
Migração,9571854000100,59 Batalhao De Infantaria Motorizado,Nao Industria,4.Micro,Defesa,SENAI,09571854000100
Proposta,9814493000178,Carlos Henrique Alves Da Silva,Nao Industria,4.Micro,Comércio a varejo de peças e acessórios novos para veículos automotores,SENAI,09814493000178
Proposta,10340747000142,Guerrero Construtora E Empreendimentos Ltda,Industria,3.Pequena,Construção de estações e redes de distribuição de energia elétrica,SENAI,10340747000142
Proposta,10616674000179,Builders Loc Locadora E Operadora De Maquinas E Equipamentos Ltda,Industria,4.Micro,Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras,SENAI,10616674000179
Proposta,10723930001280,Cyro Cavalcanti Auto Pecas Ltda,Nao Industria,3.Pequena,Comércio por atacado de peças e acessórios novos para veículos automotores,SENAI,10723930001280
Proposta,10925899000107,Madeiras Do Brasil Ltda,Nao Industria,3.Pequena,Comércio varejista de madeira e artefatos,SENAI,10925899000107
Proposta,11050982000142,Secretaria De Estado De Prevencao A Violencia,Nao Industria,3.Pequena,Administração pública em geral,SENAI,11050982000142
Proposta,11421889000105,Mixfarma Comercial Ltda,Nao Industria,2.Média,Comércio atacadista de medicamentos e drogas de uso humano,SENAI,11421889000105
Proposta,11440164000156,Am Lanchonetes Ltda,Nao Industria,4.Micro,"Lanchonetes, casas de chá, de sucos e similares",SENAI,11440164000156
Proposta,11493623000160,Magnetron Industria E Comercio De Componentes Ltda,Industria,2.Média,"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias",SENAI,11493623000160
Proposta,11512944000164,Faab Engenharia Ltda,Industria,2.Média,Construção de estações e redes de distribuição de energia elétrica,SENAI,11512944000164
Proposta,11705404000105,Cenutri - Centro Especializado De Nutricao Ltda.,Nao Industria,3.Pequena,Comércio varejista de artigos médicos e ortopédicos,SENAI,11705404000105
Proposta,12020066000122,Braf Empreendimentos Hoteleiros Ltda.,Nao Industria,3.Pequena,Hotéis,SENAI,12020066000122
Migração,12156097000105,Associacao Atletica Banco Do Brasil,Nao Industria,3.Pequena,"Clubes sociais, esportivos e similares",SENAI,12156097000105
Proposta,12157871000100,Sindicato Dos Trabalhadores No Comercio De Minerios E Derivados De Petroleo No Estado De Alagoas(inclusive Pesquisas De Minerios),Nao Industria,4.Micro,Atividades de organizações sindicais,SENAI,12157871000100
Migração,12186524000106,Tv Gazeta De Alagoas Ltda - Em Recuperacao Judicial,Nao Industria,4.Micro,Atividades de televisão aberta,SENAI,12186524000106
Proposta,12187241000170,Feitosa Irmaos & Cia Ltda,Nao Industria,3.Pequena,Comércio a varejo de peças e acessórios novos para veículos automotores,SENAI,12187241000170
Migração,12198693000158,Municipio De Arapiraca,Nao Industria,4.Micro,Administração pública em geral,SENAI,12198693000158
Migração,12200135000180,Municipio De Maceio,Nao Industria,4.Micro,Administração pública em geral,SENAI,12200135000180
Proposta,12200218000179,Secretaria De Estado Da Educacao,Nao Industria,4.Micro,Administração pública em geral,SENAI,12200218000179
Proposta,12200259000165,Secretaria De Estado Da Saude,Nao Industria,1.Grande,Administração pública em geral,SENAI,12200259000165
Migração,12207536000161,Municipio De Girau Do Ponciano,Nao Industria,4.Micro,Administração pública em geral,SENAI,12207536000161
Proposta,12229415000200,S A Usina Coruripe Acucar E Alcool,Nao Industria,1.Grande,Cultivo de cana-de-açúcar,SENAI,12229415000200
Proposta,12242350000143,Municipio De Igreja Nova,Nao Industria,4.Micro,Administração pública em geral,SENAI,12242350000143
Migração,12250916000189,Municipio De Santana Do Ipanema,Nao Industria,4.Micro,Atividades de associações de defesa de direitos sociais,SENAI,12250916000189
Proposta,12257462000178,Infranet Distribuidora De Tecnologia E Engenharia Ltda,Nao Industria,3.Pequena,Comércio atacadista de material elétrico,SENAI,12257462000178
Migração,12264222000109,Municipio De Sao Miguel Dos Campos,Nao Industria,4.Micro,Administração pública em geral,SENAI,12264222000109
Proposta,12264628000183,Municipio De Campo Alegre,Nao Industria,3.Pequena,Administração pública em geral,SENAI,12264628000183
Proposta,12282034000286,Usina Caete S A,Nao Industria,1.Grande,Cultivo de cana-de-açúcar,SENAI,12282034000286
Proposta,12312799000211,Panificacao Jaragua Ltda,Industria,4.Micro,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,SENAI,12312799000211
Proposta,12332946000134,Municipio De Uniao Dos Palmares,Nao Industria,4.Micro,Administração pública em geral,SENAI,12332946000134
Proposta,12333753000106,Municipio De Capela,Nao Industria,4.Micro,Administração pública em geral,SENAI,12333753000106
Proposta,12388278000167,Convem Comercio De Veiculos E Motores Ltda - Em Recuperacao Judicial,Nao Industria,4.Micro,Comércio a varejo de motocicletas e motonetas novas,SENAI,12388278000167
Proposta,12449880000167,Fundacao Universitaria De Desenv De Extensao E Pesquisa,Nao Industria,2.Média,Pesquisa e desenvolvimento experimental em ciências sociais e humanas,SENAI,12449880000167
Proposta,14313789000145,Mcz Express Service Ltda,Nao Industria,3.Pequena,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",SENAI,14313789000145
Proposta,14458115000139,Alexandre Dos Santos Freitas 00250873630,Nao Industria,4.Micro,Promoção de vendas,SENAI,14458115000139
Proposta,14658598000115,Alerta Seguranca Do Trabalho Ltda,Nao Industria,4.Micro,Treinamento em desenvolvimento profissional e gerencial,SENAI,14658598000115
Migração,15369322000180,"Secretaria Municipal De Desenvolvimento Social, Primeira Infancia E Seguranca Alimentar ( Semdes ) )",Nao Industria,2.Média,Administração pública em geral,SENAI,15369322000180
Proposta,16599987000142,Applus Qualitec Servicos De Engenharia Ltda,Industria,4.Micro,Serviços de engenharia,SENAI,16599987000142
Migração,16819228000148,Mandala Promocao E Marketing Ltda,Nao Industria,4.Micro,Marketing direto,SENAI,16819228000148
Migração,16925721000142,Togni  & Togni - Participacoes E Empreendimentos Ltda,Nao Industria,3.Pequena,Holdings de instituições não-financeiras,SENAI,16925721000142
Proposta,16941986000134,H B Alimentos Ltda,Nao Industria,4.Micro,"Lanchonetes, casas de chá, de sucos e similares",SENAI,16941986000134
Proposta,16941986000215,H B Alimentos Ltda,Nao Industria,4.Micro,"Lanchonetes, casas de chá, de sucos e similares",SENAI,16941986000215
Proposta,16941986000568,H B Alimentos Ltda,Nao Industria,4.Micro,"Lanchonetes, casas de chá, de sucos e similares",SENAI,16941986000568
Proposta,16941986000720,H B Alimentos Ltda,Nao Industria,4.Micro,"Lanchonetes, casas de chá, de sucos e similares",SENAI,16941986000720
Proposta,16941986000991,H B Alimentos Ltda,Nao Industria,4.Micro,"Lanchonetes, casas de chá, de sucos e similares",SENAI,16941986000991
Proposta,16941986001106,H B Alimentos Ltda,Nao Industria,3.Pequena,"Lanchonetes, casas de chá, de sucos e similares",SENAI,16941986001106
Proposta,17127654000183,Myx Lanchonete Ltda,Nao Industria,4.Micro,"Lanchonetes, casas de chá, de sucos e similares",SENAI,17127654000183
Proposta,17235389000157,Alagoas Onibus Ltda,Nao Industria,3.Pequena,"Comércio a varejo de automóveis, camionetas e utilitários novos",SENAI,17235389000157
Migração,17622147000116,Maceio Autopecas E Servicos Automotivos Ltda,Nao Industria,4.Micro,Comércio a varejo de pneumáticos e câmaras-de-ar,SENAI,17622147000116
Proposta,17765953000224,Agreste Lanchonete Ltda,Nao Industria,4.Micro,"Lanchonetes, casas de chá, de sucos e similares",SENAI,17765953000224
Proposta,17777646000182,Jayme Carneiro Junior,Nao Industria,3.Pequena,Criação de bovinos para leite,SENAI,17777646000182
Proposta,18842121000146,Caetex Florestal S.a.,Nao Industria,1.Grande,Cultivo de eucalipto,SENAI,18842121000146
Proposta,19420544000130,Secretaria Municipal De Governo E De Subprefeituras ( Segov),Nao Industria,4.Micro,Administração pública em geral,SENAI,19420544000130
Proposta,19704303000113,Asp Assessoria Social E Pesquisa Ltda,Nao Industria,3.Pequena,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",SENAI,19704303000113
Proposta,20068306000278,Distribuidora De Alimentos Mix Bom Ltda,Nao Industria,3.Pequena,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",SENAI,20068306000278
Migração,20279762000186,Secretaria De Estado De Ressocializacao E Inclusao Social,Nao Industria,4.Micro,Segurança e ordem pública,SENAI,20279762000186
Proposta,20293552000142,Ellca 2 Servicos & Locacoes Ltda,Industria,2.Média,Instalação e manutenção elétrica,SENAI,20293552000142
Proposta,21278824000106,Solo Agropecuaria E Participacoes Ltda,Nao Industria,3.Pequena,Cultivo de cana-de-açúcar,SENAI,21278824000106
Proposta,21717134000106,Mak Sorveteria Ltda,Nao Industria,4.Micro,"Lanchonetes, casas de chá, de sucos e similares",SENAI,21717134000106
Proposta,22632851000190,Ganhar Brasil Franchising S/s Ltda,Nao Industria,4.Micro,Treinamento em desenvolvimento profissional e gerencial,SENAI,22632851000190
Proposta,23571419000107,Jael Engenharia Ltda,Industria,4.Micro,Serviços de engenharia,SENAI,23571419000107
Proposta,23585778000105,Sbv Solucoes Ambientais Ltda,Industria,2.Média,"Obras portuárias, marítimas e fluviais",SENAI,23585778000105
Proposta,24245219000119,Condominio Maceio Shopping Center,Nao Industria,2.Média,Condomínios prediais,SENAI,24245219000119
Proposta,26794410000226,Tcl Semp Industria E Comerco De Condicionadores De Ar S.a,Industria,1.Grande,Fabricação de aparelhos e equipamentos de ar condicionado para uso não-industrial,SENAI,26794410000226
Proposta,27191235000164,Ayx Lanchonete Ltda,Nao Industria,4.Micro,"Lanchonetes, casas de chá, de sucos e similares",SENAI,27191235000164
Proposta,27654153000109,Fw Alimentacao Ltda,Nao Industria,4.Micro,Restaurantes e similares,SENAI,27654153000109
Proposta,29398209000137,Veletrica Distribuidor Import. E Export. Ltda,Nao Industria,3.Pequena,Comércio atacadista de material elétrico,SENAI,29398209000137
Proposta,29884632000147,Infotec Consultoria E Planejamento Ltda,Nao Industria,1.Grande,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",SENAI,29884632000147
Proposta,30494698000100,Bobs Palmeira Ltda,Nao Industria,4.Micro,"Lanchonetes, casas de chá, de sucos e similares",SENAI,30494698000100
Migração,32742424000118,C.mendes Pereira De Souza,Nao Industria,4.Micro,Comércio a varejo de peças e acessórios novos para veículos automotores,SENAI,32742424000118
Proposta,33623363000132,M Lisboa Brandao Ltda,Nao Industria,4.Micro,Restaurantes e similares,SENAI,33623363000132
Proposta,34116804000172,Colegio Iep Ltda,Nao Industria,3.Pequena,Educação infantil - pré-escola,SENAI,34116804000172
Proposta,34607256000183,Dlicias Da Terra Ltda,Nao Industria,3.Pequena,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,SENAI,34607256000183
Migração,35492098000126,Nbg Midia Ltda,Nao Industria,4.Micro,"Agenciamento de espaços para publicidade, exceto em veículos de comunicação",SENAI,35492098000126
Proposta,35562321000164,Fundacao De Amparo A Pesquisa De Alagoas,Nao Industria,3.Pequena,Administração pública em geral,SENAI,35562321000164
Proposta,35647608000197,R.a. Gestao De Ativos Ltda,Nao Industria,3.Pequena,"Serviços de organização de feiras, congressos, exposições e festas",SENAI,35647608000197
Proposta,36064094000100,Amp Lanchonetes Ltda,Nao Industria,4.Micro,"Lanchonetes, casas de chá, de sucos e similares",SENAI,36064094000100
Proposta,36634906000105,Optmus Consultoria E Servicos Ltda,Nao Industria,3.Pequena,Serviços combinados de escritório e apoio administrativo,SENAI,36634906000105
Proposta,38132400000123,Boi Carreiro Ltda,Nao Industria,3.Pequena,Criação de bovinos para corte,SENAI,38132400000123
Migração,40911117000141,Ativa Servicos Gerais Ltda,Nao Industria,1.Grande,Fornecimento e gestão de recursos humanos para terceiros,SENAI,40911117000141
Proposta,40921140000117,Auto Pecas Real Ltda,Nao Industria,3.Pequena,Comércio a varejo de peças e acessórios novos para veículos automotores,SENAI,40921140000117
Proposta,41200286000136,Trez Participacoes E Engenharia Ltda,Industria,3.Pequena,Construção de edifícios,SENAI,41200286000136
Proposta,41864070000175,Ne Comercio Atacadista Ltda,Nao Industria,3.Pequena,Comércio atacadista de produtos alimentícios em geral,SENAI,41864070000175
Proposta,43249460000160,Warlem Teofilo Alves Ltda,Industria,4.Micro,Recuperação de sucatas de alumínio,SENAI,43249460000160
Proposta,44526952000208,Matsubara Hoteis E Turismo Ltda,Nao Industria,4.Micro,Hotéis,SENAI,44526952000208
Proposta,46337372000109,Associacao Dos Adquirentes De Unidades Autonomas Do Condominio Residencial Ville De France,Nao Industria,2.Média,Atividades associativas não especificadas anteriormente,SENAI,46337372000109
Proposta,46806564000117,Sunset Residence Frances Spe Ltda,Industria,3.Pequena,Incorporação de empreendimentos imobiliários,SENAI,46806564000117
Proposta,48684642000183,Adamo Spe 1 Ltda,Nao Industria,2.Média,Compra e venda de imóveis próprios,SENAI,48684642000183
Proposta,49120631000133,Associacao Dos Proprietarios De Unidades Autonomas Do Futuro Edificio Botanic View Club Residence,Nao Industria,2.Média,Atividades associativas não especificadas anteriormente,SENAI,49120631000133
Proposta,49142678000106,"Secretaria De Estado Do Desenvolvimento, Industria, Comercio E Servicos",Nao Industria,2.Média,Administração pública em geral,SENAI,49142678000106
Proposta,49329618000199,Sistenge Construcoes E Comercio Ltda,Industria,4.Micro,Construção de edifícios,SENAI,49329618000199
Proposta,49871213006623,Ic Transportes Ltda.,Nao Industria,1.Grande,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",SENAI,49871213006623
Proposta,51899405000225,Pratagy Comercio De Alimentos Ltda,Nao Industria,3.Pequena,Restaurantes e similares,SENAI,51899405000225
Proposta,51899405000497,Pratagy Comercio De Alimentos Ltda,Nao Industria,3.Pequena,Restaurantes e similares,SENAI,51899405000497
Proposta,51899405000578,Pratagy Comercio De Alimentos Ltda,Nao Industria,3.Pequena,Restaurantes e similares,SENAI,51899405000578
Proposta,52330340000184,Edificio Empresarial Link Office,Nao Industria,3.Pequena,Condomínios prediais,SENAI,52330340000184
Proposta,54027801000170,Tgn Empreendimentos Ltda,Nao Industria,3.Pequena,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,SENAI,54027801000170
Proposta,54846397000166,Biscoite Parque Shopping Ltda,Nao Industria,4.Micro,"Comércio varejista de doces, balas, bombons e semelhantes",SENAI,54846397000166
Proposta,57645286000180,Bobs Azul Ltda,Nao Industria,4.Micro,"Lanchonetes, casas de chá, de sucos e similares",SENAI,57645286000180
Proposta,60818177000121,Condominio Beach Class Patacho,Nao Industria,3.Pequena,Condomínios prediais,SENAI,60818177000121
Proposta,61082316000245,Vip Sports Group Industria E Comercio Ltda,Industria,4.Micro,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",SENAI,61082316000245
Proposta,61320365000198,Bobs Posto Terra Nossa Ltda,Nao Industria,4.Micro,"Lanchonetes, casas de chá, de sucos e similares",SENAI,61320365000198
Proposta,61471733000107,Grano Restaurante Ltda.,Nao Industria,3.Pequena,Restaurantes e similares,SENAI,61471733000107
Migração,61491058000170,Associacao Comunitaria Amigos De Maribondo,Nao Industria,4.Micro,Atividades de associações de defesa de direitos sociais,SENAI,61491058000170
Proposta,63477520000100,Condominio Do Edificio Salsa,Nao Industria,2.Média,Condomínios prediais,SENAI,63477520000100
Proposta,63631496000111,Delicias Do Cheff Ltda,Nao Industria,4.Micro,Restaurantes e similares,SENAI,63631496000111
Proposta,63907723000199,Jg Extintores Ltda,Nao Industria,4.Micro,Comércio varejista de outros produtos não especificados anteriormente,SENAI,63907723000199
Proposta,65780094000104,Martoke Empreendimento Imobiliario Spe Ltda,Nao Industria,3.Pequena,Gestão e administração da propriedade imobiliária,SENAI,65780094000104
Proposta,70940994009249,Pandurata Alimentos Ltda,Nao Industria,3.Pequena,"Comércio atacadista de pães, bolos, biscoitos e similares",SENAI,70940994009249
Proposta,86894953001561,Bigburger Salvador Lanchonetes Ltda,Nao Industria,4.Micro,"Lanchonetes, casas de chá, de sucos e similares",SENAI,86894953001561
