Origem da Cobertura,CNPJ,Razão Social,Categoria,Porte,CNAE,COBERTURA,CNPJ_NORMALIZADO
Migração,48869153000104,Tanino Bistro & Emporio Ltda,Não Indústria,4.Micro,Restaurantes e similares,SESI,48869153000104
Migração,48905364000147,48.905.364 Paulo Marcos Da Silva,Não Indústria,4.Micro,Restaurantes e similares,SESI,48905364000147
Migração,48962242000192,Quimica Nordeste De Produtos Ltda,Indústria,3.Pequena,Fabricação de sabões e detergentes sintéticos,SESI,48962242000192
Migração,48975994000198,Consulttymed Servicos Clinicos Ltda,Não Indústria,4.Micro,Atividade médica ambulatorial restrita a consultas,SESI,48975994000198
Migração,49120358000147,Buffet Pinheiro Ltda,Não Indústria,4.Micro,Serviços de alimentação para eventos e recepções - bufê,SESI,49120358000147
Proposta,49120631000133,Associacao Dos Proprietarios De Unidades Autonomas Do Futuro Edificio Botanic View Club Residence,Não Indústria,2.Média,Atividades associativas não especificadas anteriormente,SESI,49120631000133
Migração,49274757000162,Janaina Mainara Da Silva Motopecas Ltda,Não Indústria,4.Micro,Comércio a varejo de peças e acessórios novos para motocicletas e motonetas,SESI,49274757000162
Migração,49678524000125,Soilymar Ferreira Consultorio Odontologico Ltda,Não Indústria,4.Micro,Atividade odontológica com recursos para realização de procedimentos cirúrgicos,SESI,49678524000125
Migração,49837432000140,Magalhaes Consultoria Ltda,Não Indústria,4.Micro,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",SESI,49837432000140
Proposta,49930514000135,Sodexo Do Brasil Comercial S.a.,Indústria,1.Grande,Fornecimento de alimentos preparados preponderantemente para empresas,SESI,49930514000135
Migração,50161226000142,Adriano Tenorio Fernandes Comercio,Não Indústria,4.Micro,Comércio varejista de tecidos,SESI,50161226000142
Migração,50269736000138,Panetutti Casa De Lanches Ltda,Não Indústria,3.Pequena,Restaurantes e similares,SESI,50269736000138
Migração,50370509000102,Costa Servicos Ltda,Não Indústria,3.Pequena,Seleção e agenciamento de mão-de-obra,SESI,50370509000102
